z1,z2,z3,z4,z5,z6,o5,population
2,2,3,3,1,1,2,70
3,1,3,2,2,1,3,70
1,2,3,1,2,3,1,70
2,1,3,1,3,2,2,70
1,2,1,3,3,2,3,70
1,3,3,2,1,2,3,70
2,1,1,3,2,3,3,70
3,3,1,1,2,2,2,70
3,2,1,2,1,3,2,70
1,1,1,1,1,1,1,70
1,1,2,2,3,3,2,70
1,3,2,3,2,1,2,70
3,2,2,1,3,1,3,70
3,1,2,3,1,2,1,70
2,2,2,2,2,2,1,70
2,3,2,1,1,3,3,70
2,3,1,2,3,1,1,70
3,3,3,3,3,3,1,70
2,2,3,3,1,1,2,500
3,1,3,2,2,1,3,500
1,2,3,1,2,3,1,500
2,1,3,1,3,2,2,500
1,2,1,3,3,2,3,500
1,3,3,2,1,2,3,500
2,1,1,3,2,3,3,500
3,3,1,1,2,2,2,500
3,2,1,2,1,3,2,500
1,1,1,1,1,1,1,500
1,1,2,2,3,3,2,500
1,3,2,3,2,1,2,500
3,2,2,1,3,1,3,500
3,1,2,3,1,2,1,500
2,2,2,2,2,2,1,500
2,3,2,1,1,3,3,500
2,3,1,2,3,1,1,500
3,3,3,3,3,3,1,500
2,2,3,3,1,1,2,1000
3,1,3,2,2,1,3,1000
1,2,3,1,2,3,1,1000
2,1,3,1,3,2,2,1000
1,2,1,3,3,2,3,1000
1,3,3,2,1,2,3,1000
2,1,1,3,2,3,3,1000
3,3,1,1,2,2,2,1000
3,2,1,2,1,3,2,1000
1,1,1,1,1,1,1,1000
1,1,2,2,3,3,2,1000
1,3,2,3,2,1,2,1000
3,2,2,1,3,1,3,1000
3,1,2,3,1,2,1,1000
2,2,2,2,2,2,1,1000
2,3,2,1,1,3,3,1000
2,3,1,2,3,1,1,1000
3,3,3,3,3,3,1,1000
2,2,3,3,1,1,2,1500
3,1,3,2,2,1,3,1500
1,2,3,1,2,3,1,1500
2,1,3,1,3,2,2,1500
1,2,1,3,3,2,3,1500
1,3,3,2,1,2,3,1500
2,1,1,3,2,3,3,1500
3,3,1,1,2,2,2,1500
3,2,1,2,1,3,2,1500
1,1,1,1,1,1,1,1500
1,1,2,2,3,3,2,1500
1,3,2,3,2,1,2,1500
3,2,2,1,3,1,3,1500
3,1,2,3,1,2,1,1500
2,2,2,2,2,2,1,1500
2,3,2,1,1,3,3,1500
2,3,1,2,3,1,1,1500
3,3,3,3,3,3,1,1500
2,2,3,3,1,1,2,2000
3,1,3,2,2,1,3,2000
1,2,3,1,2,3,1,2000
2,1,3,1,3,2,2,2000
1,2,1,3,3,2,3,2000
1,3,3,2,1,2,3,2000
2,1,1,3,2,3,3,2000
3,3,1,1,2,2,2,2000
3,2,1,2,1,3,2,2000
1,1,1,1,1,1,1,2000
1,1,2,2,3,3,2,2000
1,3,2,3,2,1,2,2000
3,2,2,1,3,1,3,2000
3,1,2,3,1,2,1,2000
2,2,2,2,2,2,1,2000
2,3,2,1,1,3,3,2000
2,3,1,2,3,1,1,2000
3,3,3,3,3,3,1,2000
2,2,3,3,1,1,2,2500
3,1,3,2,2,1,3,2500
1,2,3,1,2,3,1,2500
2,1,3,1,3,2,2,2500
1,2,1,3,3,2,3,2500
1,3,3,2,1,2,3,2500
2,1,1,3,2,3,3,2500
3,3,1,1,2,2,2,2500
3,2,1,2,1,3,2,2500
1,1,1,1,1,1,1,2500
1,1,2,2,3,3,2,2500
1,3,2,3,2,1,2,2500
3,2,2,1,3,1,3,2500
3,1,2,3,1,2,1,2500
2,2,2,2,2,2,1,2500
2,3,2,1,1,3,3,2500
2,3,1,2,3,1,1,2500
3,3,3,3,3,3,1,2500
2,2,3,3,1,1,2,5000
3,1,3,2,2,1,3,5000
1,2,3,1,2,3,1,5000
2,1,3,1,3,2,2,5000
1,2,1,3,3,2,3,5000
1,3,3,2,1,2,3,5000
2,1,1,3,2,3,3,5000
3,3,1,1,2,2,2,5000
3,2,1,2,1,3,2,5000
1,1,1,1,1,1,1,5000
1,1,2,2,3,3,2,5000
1,3,2,3,2,1,2,5000
3,2,2,1,3,1,3,5000
3,1,2,3,1,2,1,5000
2,2,2,2,2,2,1,5000
2,3,2,1,1,3,3,5000
2,3,1,2,3,1,1,5000
3,3,3,3,3,3,1,5000
2,2,3,3,1,1,2,7500
3,1,3,2,2,1,3,7500
1,2,3,1,2,3,1,7500
2,1,3,1,3,2,2,7500
1,2,1,3,3,2,3,7500
1,3,3,2,1,2,3,7500
2,1,1,3,2,3,3,7500
3,3,1,1,2,2,2,7500
3,2,1,2,1,3,2,7500
1,1,1,1,1,1,1,7500
1,1,2,2,3,3,2,7500
1,3,2,3,2,1,2,7500
3,2,2,1,3,1,3,7500
3,1,2,3,1,2,1,7500
2,2,2,2,2,2,1,7500
2,3,2,1,1,3,3,7500
2,3,1,2,3,1,1,7500
3,3,3,3,3,3,1,7500
2,2,3,3,1,1,2,10000
3,1,3,2,2,1,3,10000
1,2,3,1,2,3,1,10000
2,1,3,1,3,2,2,10000
1,2,1,3,3,2,3,10000
1,3,3,2,1,2,3,10000
2,1,1,3,2,3,3,10000
3,3,1,1,2,2,2,10000
3,2,1,2,1,3,2,10000
1,1,1,1,1,1,1,10000
1,1,2,2,3,3,2,10000
1,3,2,3,2,1,2,10000
3,2,2,1,3,1,3,10000
3,1,2,3,1,2,1,10000
2,2,2,2,2,2,1,10000
2,3,2,1,1,3,3,10000
2,3,1,2,3,1,1,10000
3,3,3,3,3,3,1,10000
