z1,z2,z3,z4,z5,z6,o5,population
1,1,2,2,0,0,1,70
2,0,2,1,1,0,2,70
0,1,2,0,1,2,0,70
1,0,2,0,2,1,1,70
0,1,0,2,2,1,2,70
0,2,2,1,0,1,2,70
1,0,0,2,1,2,2,70
2,2,0,0,1,1,1,70
2,1,0,1,0,2,1,70
0,0,0,0,0,0,0,70
0,0,1,1,2,2,1,70
0,2,1,2,1,0,1,70
2,1,1,0,2,0,2,70
2,0,1,2,0,1,0,70
1,1,1,1,1,1,0,70
1,2,1,0,0,2,2,70
1,2,0,1,2,0,0,70
2,2,2,2,2,2,0,70
1,1,2,2,0,0,1,500
2,0,2,1,1,0,2,500
0,1,2,0,1,2,0,500
1,0,2,0,2,1,1,500
0,1,0,2,2,1,2,500
0,2,2,1,0,1,2,500
1,0,0,2,1,2,2,500
2,2,0,0,1,1,1,500
2,1,0,1,0,2,1,500
0,0,0,0,0,0,0,500
0,0,1,1,2,2,1,500
0,2,1,2,1,0,1,500
2,1,1,0,2,0,2,500
2,0,1,2,0,1,0,500
1,1,1,1,1,1,0,500
1,2,1,0,0,2,2,500
1,2,0,1,2,0,0,500
2,2,2,2,2,2,0,500
1,1,2,2,0,0,1,1000
2,0,2,1,1,0,2,1000
0,1,2,0,1,2,0,1000
1,0,2,0,2,1,1,1000
0,1,0,2,2,1,2,1000
0,2,2,1,0,1,2,1000
1,0,0,2,1,2,2,1000
2,2,0,0,1,1,1,1000
2,1,0,1,0,2,1,1000
0,0,0,0,0,0,0,1000
0,0,1,1,2,2,1,1000
0,2,1,2,1,0,1,1000
2,1,1,0,2,0,2,1000
2,0,1,2,0,1,0,1000
1,1,1,1,1,1,0,1000
1,2,1,0,0,2,2,1000
1,2,0,1,2,0,0,1000
2,2,2,2,2,2,0,1000
1,1,2,2,0,0,1,1500
2,0,2,1,1,0,2,1500
0,1,2,0,1,2,0,1500
1,0,2,0,2,1,1,1500
0,1,0,2,2,1,2,1500
0,2,2,1,0,1,2,1500
1,0,0,2,1,2,2,1500
2,2,0,0,1,1,1,1500
2,1,0,1,0,2,1,1500
0,0,0,0,0,0,0,1500
0,0,1,1,2,2,1,1500
0,2,1,2,1,0,1,1500
2,1,1,0,2,0,2,1500
2,0,1,2,0,1,0,1500
1,1,1,1,1,1,0,1500
1,2,1,0,0,2,2,1500
1,2,0,1,2,0,0,1500
2,2,2,2,2,2,0,1500
1,1,2,2,0,0,1,2000
2,0,2,1,1,0,2,2000
0,1,2,0,1,2,0,2000
1,0,2,0,2,1,1,2000
0,1,0,2,2,1,2,2000
0,2,2,1,0,1,2,2000
1,0,0,2,1,2,2,2000
2,2,0,0,1,1,1,2000
2,1,0,1,0,2,1,2000
0,0,0,0,0,0,0,2000
0,0,1,1,2,2,1,2000
0,2,1,2,1,0,1,2000
2,1,1,0,2,0,2,2000
2,0,1,2,0,1,0,2000
1,1,1,1,1,1,0,2000
1,2,1,0,0,2,2,2000
1,2,0,1,2,0,0,2000
2,2,2,2,2,2,0,2000
1,1,2,2,0,0,1,2500
2,0,2,1,1,0,2,2500
0,1,2,0,1,2,0,2500
1,0,2,0,2,1,1,2500
0,1,0,2,2,1,2,2500
0,2,2,1,0,1,2,2500
1,0,0,2,1,2,2,2500
2,2,0,0,1,1,1,2500
2,1,0,1,0,2,1,2500
0,0,0,0,0,0,0,2500
0,0,1,1,2,2,1,2500
0,2,1,2,1,0,1,2500
2,1,1,0,2,0,2,2500
2,0,1,2,0,1,0,2500
1,1,1,1,1,1,0,2500
1,2,1,0,0,2,2,2500
1,2,0,1,2,0,0,2500
2,2,2,2,2,2,0,2500
1,1,2,2,0,0,1,5000
2,0,2,1,1,0,2,5000
0,1,2,0,1,2,0,5000
1,0,2,0,2,1,1,5000
0,1,0,2,2,1,2,5000
0,2,2,1,0,1,2,5000
1,0,0,2,1,2,2,5000
2,2,0,0,1,1,1,5000
2,1,0,1,0,2,1,5000
0,0,0,0,0,0,0,5000
0,0,1,1,2,2,1,5000
0,2,1,2,1,0,1,5000
2,1,1,0,2,0,2,5000
2,0,1,2,0,1,0,5000
1,1,1,1,1,1,0,5000
1,2,1,0,0,2,2,5000
1,2,0,1,2,0,0,5000
2,2,2,2,2,2,0,5000
1,1,2,2,0,0,1,7500
2,0,2,1,1,0,2,7500
0,1,2,0,1,2,0,7500
1,0,2,0,2,1,1,7500
0,1,0,2,2,1,2,7500
0,2,2,1,0,1,2,7500
1,0,0,2,1,2,2,7500
2,2,0,0,1,1,1,7500
2,1,0,1,0,2,1,7500
0,0,0,0,0,0,0,7500
0,0,1,1,2,2,1,7500
0,2,1,2,1,0,1,7500
2,1,1,0,2,0,2,7500
2,0,1,2,0,1,0,7500
1,1,1,1,1,1,0,7500
1,2,1,0,0,2,2,7500
1,2,0,1,2,0,0,7500
2,2,2,2,2,2,0,7500
1,1,2,2,0,0,1,10000
2,0,2,1,1,0,2,10000
0,1,2,0,1,2,0,10000
1,0,2,0,2,1,1,10000
0,1,0,2,2,1,2,10000
0,2,2,1,0,1,2,10000
1,0,0,2,1,2,2,10000
2,2,0,0,1,1,1,10000
2,1,0,1,0,2,1,10000
0,0,0,0,0,0,0,10000
0,0,1,1,2,2,1,10000
0,2,1,2,1,0,1,10000
2,1,1,0,2,0,2,10000
2,0,1,2,0,1,0,10000
1,1,1,1,1,1,0,10000
1,2,1,0,0,2,2,10000
1,2,0,1,2,0,0,10000
2,2,2,2,2,2,0,10000
