z1,z2,z3,z4,z5,z6,o5,population
1,1,2,2,0,0,1,3000
2,0,2,1,1,0,2,3000
0,1,2,0,1,2,0,3000
1,0,2,0,2,1,1,3000
0,1,0,2,2,1,2,3000
0,2,2,1,0,1,2,3000
1,0,0,2,1,2,2,3000
2,2,0,0,1,1,1,3000
2,1,0,1,0,2,1,3000
0,0,0,0,0,0,0,3000
0,0,1,1,2,2,1,3000
0,2,1,2,1,0,1,3000
2,1,1,0,2,0,2,3000
2,0,1,2,0,1,0,3000
1,1,1,1,1,1,0,3000
1,2,1,0,0,2,2,3000
1,2,0,1,2,0,0,3000
2,2,2,2,2,2,0,3000
1,1,2,2,0,0,1,4000
2,0,2,1,1,0,2,4000
0,1,2,0,1,2,0,4000
1,0,2,0,2,1,1,4000
0,1,0,2,2,1,2,4000
0,2,2,1,0,1,2,4000
1,0,0,2,1,2,2,4000
2,2,0,0,1,1,1,4000
2,1,0,1,0,2,1,4000
0,0,0,0,0,0,0,4000
0,0,1,1,2,2,1,4000
0,2,1,2,1,0,1,4000
2,1,1,0,2,0,2,4000
2,0,1,2,0,1,0,4000
1,1,1,1,1,1,0,4000
1,2,1,0,0,2,2,4000
1,2,0,1,2,0,0,4000
2,2,2,2,2,2,0,4000
1,1,2,2,0,0,1,6000
2,0,2,1,1,0,2,6000
0,1,2,0,1,2,0,6000
1,0,2,0,2,1,1,6000
0,1,0,2,2,1,2,6000
0,2,2,1,0,1,2,6000
1,0,0,2,1,2,2,6000
2,2,0,0,1,1,1,6000
2,1,0,1,0,2,1,6000
0,0,0,0,0,0,0,6000
0,0,1,1,2,2,1,6000
0,2,1,2,1,0,1,6000
2,1,1,0,2,0,2,6000
2,0,1,2,0,1,0,6000
1,1,1,1,1,1,0,6000
1,2,1,0,0,2,2,6000
1,2,0,1,2,0,0,6000
2,2,2,2,2,2,0,6000
1,1,2,2,0,0,1,7000
2,0,2,1,1,0,2,7000
0,1,2,0,1,2,0,7000
1,0,2,0,2,1,1,7000
0,1,0,2,2,1,2,7000
0,2,2,1,0,1,2,7000
1,0,0,2,1,2,2,7000
2,2,0,0,1,1,1,7000
2,1,0,1,0,2,1,7000
0,0,0,0,0,0,0,7000
0,0,1,1,2,2,1,7000
0,2,1,2,1,0,1,7000
2,1,1,0,2,0,2,7000
2,0,1,2,0,1,0,7000
1,1,1,1,1,1,0,7000
1,2,1,0,0,2,2,7000
1,2,0,1,2,0,0,7000
2,2,2,2,2,2,0,7000
1,1,2,2,0,0,1,8000
2,0,2,1,1,0,2,8000
0,1,2,0,1,2,0,8000
1,0,2,0,2,1,1,8000
0,1,0,2,2,1,2,8000
0,2,2,1,0,1,2,8000
1,0,0,2,1,2,2,8000
2,2,0,0,1,1,1,8000
2,1,0,1,0,2,1,8000
0,0,0,0,0,0,0,8000
0,0,1,1,2,2,1,8000
0,2,1,2,1,0,1,8000
2,1,1,0,2,0,2,8000
2,0,1,2,0,1,0,8000
1,1,1,1,1,1,0,8000
1,2,1,0,0,2,2,8000
1,2,0,1,2,0,0,8000
2,2,2,2,2,2,0,8000
1,1,2,2,0,0,1,9000
2,0,2,1,1,0,2,9000
0,1,2,0,1,2,0,9000
1,0,2,0,2,1,1,9000
0,1,0,2,2,1,2,9000
0,2,2,1,0,1,2,9000
1,0,0,2,1,2,2,9000
2,2,0,0,1,1,1,9000
2,1,0,1,0,2,1,9000
0,0,0,0,0,0,0,9000
0,0,1,1,2,2,1,9000
0,2,1,2,1,0,1,9000
2,1,1,0,2,0,2,9000
2,0,1,2,0,1,0,9000
1,1,1,1,1,1,0,9000
1,2,1,0,0,2,2,9000
1,2,0,1,2,0,0,9000
2,2,2,2,2,2,0,9000
